id;annee;Value
554;2005;87.0
554;2010;100.0
554;2015;107.9
554;2019;114.2
554;2020;116.2
554;2021;120.8
558;2000;45.7
558;2005;62.9
558;2010;100.0
558;2015;136.9
558;2019;162.7
558;2020;168.7
558;2021;177.0
562;2015;107.3
562;2019;101.5
566;2000;29.6
566;2005;61.4
566;2010;100.0
566;2015;158.9
566;2019;267.5
566;2020;302.9
566;2021;354.3
807;2000;79.9
807;2005;86.8
807;2010;100.0
807;2015;109.7
807;2019;113.4
807;2020;114.8
807;2021;118.5
578;2000;81.9
578;2005;89.3
578;2010;100.0
578;2015;108.6
578;2019;120.3
578;2020;121.8
578;2021;126.1
512;2000;74.8
512;2005;76.0
512;2010;100.0
512;2015;109.4
512;2019;113.5
512;2020;112.5
512;2021;114.2
586;2000;43.4
586;2005;55.8
586;2010;100.0
586;2015;145.3
586;2019;182.3
586;2020;200.1
586;2021;219.1
585;2005;80.5
585;2010;100.0
585;2015;117.9
585;2019;121.1
585;2020;121.4
585;2021;124.6
591;2000;77.3
591;2005;81.3
591;2010;100.0
591;2015;119.6
591;2019;122.1
591;2020;120.2
591;2021;122.1
598;2000;52.9
598;2005;77.1
598;2010;100.0
598;2015;127.8
598;2019;155.9
598;2020;163.5
598;2021;170.8
600;2000;47.3
600;2005;71.4
600;2010;100.0
600;2015;124.8
600;2019;143.8
600;2020;146.4
600;2021;153.4
604;2000;79.2
604;2005;87.1
604;2010;100.0
604;2015;117.7
604;2019;130.3
604;2020;132.9
604;2021;138.6
608;2015;107.0
608;2019;120.2
608;2020;123.3
608;2021;128.8
616;2010;100.0
616;2015;108.1
616;2019;113.9
616;2020;117.6
616;2021;123.6
620;2000;78.5
620;2005;91.8
620;2010;100.0
620;2015;107.0
620;2019;110.6
620;2020;110.6
620;2021;112.0
630;2010;100.0
630;2015;105.2
634;2015;105.2
634;2019;108.1
634;2020;96.6
634;2021;98.8
410;2000;73.1
410;2005;86.2
410;2010;100.0
410;2015;109.8
410;2019;115.2
410;2020;115.8
410;2021;118.6
498;2010;100.0
498;2015;135.8
498;2019;166.3
498;2020;172.6
498;2021;181.4
638;2010;100.0
638;2015;104.7
638;2019;107.7
638;2020;107.6
642;2000;32.0
642;2005;74.1
642;2010;100.0
642;2015;114.2
642;2019;123.8
642;2020;127.0
642;2021;133.5
643;2000;30.8
643;2005;61.4
643;2010;100.0
643;2015;151.5
643;2019;180.7
643;2020;186.8
643;2021;199.4
646;2010;100.0
646;2015;122.1
646;2019;140.5
646;2020;151.4
646;2021;152.6
659;2010;100.0
659;2015;105.7
659;2019;104.3
659;2020;103.0
659;2021;104.2
662;2010;100.0
662;2015;111.4
662;2019;110.7
662;2020;108.8
662;2021;111.4
670;2000;74.1
670;2005;81.5
670;2010;100.0
670;2015;105.1
670;2019;110.7
670;2020;110.0
670;2021;111.7
882;2000;57.4
882;2005;76.4
882;2010;100.0
882;2015;108.4
882;2019;117.6
882;2020;115.7
882;2021;119.3
674;2015;107.7
674;2019;112.5
674;2020;112.7
674;2021;115.1
678;2000;22.3
678;2005;39.2
678;2010;100.0
678;2015;154.0
682;2005;81.4
682;2010;100.0
682;2015;96.4
682;2019;97.9
682;2020;101.3
682;2021;104.4
686;2000;80.9
686;2005;87.1
686;2010;100.0
686;2015;104.6
686;2019;109.3
686;2020;112.0
686;2021;114.6
688;2000;19.8
688;2005;65.2
688;2010;100.0
688;2015;133.0
688;2019;144.0
688;2020;146.3
688;2021;152.3
690;2000;47.1
690;2005;54.1
690;2010;100.0
690;2015;120.9
690;2019;130.0
690;2020;131.5
690;2021;144.4
694;2010;100.0
694;2015;134.1
694;2019;234.2
694;2020;265.6
694;2021;297.2
702;2000;85.2
702;2005;88.0
702;2010;100.0
702;2015;113.2
702;2019;114.4
702;2020;114.2
702;2021;116.8
703;2000;65.4
703;2005;86.8
703;2010;100.0
703;2015;108.7
703;2019;115.3
703;2020;117.6
703;2021;121.3
705;2000;66.5
705;2005;86.8
705;2010;100.0
705;2015;105.9
705;2019;111.1
705;2020;111.0
705;2021;113.1
90;2000;44.6
90;2005;65.8
90;2010;100.0
90;2015;125.3
90;2019;133.1
90;2020;137.0
90;2021;136.8
710;2000;59.9
710;2005;74.3
710;2010;100.0
710;2015;130.1
710;2019;158.7
710;2020;163.9
710;2021;171.3
728;2010;100.0
728;2015;331.7
728;2019;749.2
728;2020;422.9
728;2021;570.7
724;2000;75.9
724;2005;89.0
724;2010;100.0
724;2015;106.5
724;2019;111.0
724;2020;110.6
724;2021;114.0
144;2000;36.5
144;2005;58.3
144;2010;100.0
144;2015;109.5
144;2019;129.6
144;2020;137.6
144;2021;147.2
275;2000;67.4
275;2005;80.7
275;2010;100.0
275;2015;111.0
275;2019;112.5
275;2020;111.8
275;2021;113.1
729;2000;35.8
729;2005;56.6
729;2010;100.0
729;2015;349.8
729;2019;344.2
729;2020;538.7
729;2021;895.1
740;2000;29.0
740;2005;69.0
740;2010;100.0
740;2015;139.2
740;2019;294.8
740;2020;397.7
740;2021;632.8
752;2000;86.2
752;2005;92.7
752;2010;100.0
752;2015;103.6
752;2019;110.5
752;2020;111.1
752;2021;113.5
756;2000;91.7
756;2005;95.7
756;2010;100.0
756;2015;98.2
756;2019;99.5
756;2020;98.8
756;2021;99.4
760;2010;100.0
760;2015;448.8
760;2019;896.2
762;2010;100.0
762;2015;140.2
762;2019;178.6
762;2020;194.1
762;2021;211.5
764;2000;77.4
764;2005;86.6
764;2010;100.0
764;2015;110.3
764;2019;113.3
764;2020;112.3
764;2021;113.7
626;2005;74.4
626;2010;100.0
626;2015;142.9
626;2019;146.2
768;2000;74.5
768;2005;84.7
768;2010;100.0
768;2015;111.2
768;2019;113.3
768;2020;115.4
776;2000;47.7
776;2005;76.7
776;2010;100.0
776;2015;109.9
780;2000;51.1
780;2005;64.6
780;2010;100.0
780;2015;133.6
780;2019;143.2
780;2020;144.0
788;2000;71.7
788;2005;81.6
788;2010;100.0
788;2015;126.7
788;2019;158.8
788;2020;167.7
788;2021;177.3
792;2000;20.6
792;2005;65.9
792;2010;100.0
792;2015;146.1
792;2019;233.5
792;2020;263.2
792;2021;314.8
798;2010;100.0
800;2015;150.8
800;2019;107.6
800;2020;110.6
800;2021;113.0
804;2000;34.8
804;2005;51.2
804;2010;100.0
804;2015;180.5
804;2019;281.9
804;2020;289.6
804;2021;316.6
784;2010;100.0
784;2015;109.3
784;2019;114.5
784;2020;112.1
826;2000;81.3
826;2005;87.4
826;2010;100.0
826;2015;111.9
826;2019;120.6
826;2020;121.6
826;2021;124.7
834;2000;51.7
834;2005;66.3
834;2010;100.0
834;2015;158.0
834;2019;187.4
834;2020;193.6
840;2000;79.0
840;2005;89.6
840;2010;100.0
840;2015;108.7
840;2019;117.2
840;2020;118.7
840;2021;124.3
858;2000;43.5
858;2005;70.5
858;2010;100.0
858;2015;150.1
858;2019;202.9
858;2020;222.7
858;2021;240.0
860;2019;153.3
860;2020;173.0
860;2021;191.8
548;2000;75.1
548;2005;83.9
548;2010;100.0
548;2015;107.1
548;2019;117.1
548;2020;123.4
548;2021;126.3
862;2010;100.0
862;2015;772.0
862;2019;931.5
862;2020;584.2
862;2021;800.7
704;2000;48.1
704;2005;59.9
704;2010;100.0
704;2015;144.6
704;2019;163.5
704;2020;168.8
704;2021;171.9
887;2000;34.2
887;2005;60.0
887;2010;100.0
894;2000;23.8
894;2005;59.9
894;2010;100.0
894;2015;144.0
894;2019;212.3
894;2020;245.7
716;2010;100.0
716;2015;106.2
716;2019;414.7
716;2020;725.3
716;2021;411.0
