Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;13;13;16;15;NULL;NULL;NULL;NULL;NULL;5;5;4;7;7;7.8;9.6;9.2;10;11.9;15.4;16;15.3;3.1;0.3
BULGARIA;10;10;16;15;14;16;13;9;12;12;11;13;15;21;23;24;27;26;23.5;32.8;36;50.2;52;44.4;40;17.4;30.8
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.3
BURUNDI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;3;7;8;11;17;15;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;1;4;3;2;2;3;5;4;5;7;8;9;15;16;16;19;21;25;30;36.4;45.4;55.5;70.6;81.6;98.1;17.6;1.6
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CANADA;69;73;78;56;63;74;78;79;80;96;110;119;136;145;146;172.3;185.2;187.1;192.1;220.6;238.9;274.2;327.1;380.6;446.8;83.7;114.5
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.3;0.3;0.2;0.3;0.3;0.4;0.4;0.1;0.1
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;1;NULL;2;2;2;3;2;2;2;4;4;4;4;3;3;3;3;3;3.4;3.3;4.2;4.9;5.6;5.7;6.3;1.2;0.3
CHINA;108;120;131;133;161;210;277;381;383;514;599;671;749;669;714.3;871.3;957;948;1054.7;1124.6;1164.2;1295.6;1391.4;1280.3;1481;NULL;NULL
COLOMBIA;NULL;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3.4;3.3;3.3;3.5;4.3;6.1;6.5;7.2;8.2;8.8;2.1;3.1
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;2.4;2.1;2;1.5;1.4;1.7;2.2;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;6;NULL;5;NULL;19.2;15.8;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.3;4;4.7;5.3;6;7.2;7.8;8.2;9.1;10.4;2.4;3.6
COTE D´IVOIRE;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CUBA;2;3;4;4;3;5;4;4;6;4;5;5;4;5;4;5.8;5.8;5.9;6.7;8.5;8.9;15.2;30.9;39.5;25.1;2.8;1.9
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;NULL;NULL;NULL;6;7;9;8;3;3;2;3;4;7;4;5;8;7;6;5;6;6.6;6.5;5.3;3.6;1.9;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;25;29;37.5;56;68;85.5;96.1;98;9.9;10.8
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;76.3;12.6;18.6
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.2;0.2;0.1;0.2;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.1
DOMINICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;1;1;0.7;0.7;0.9;1.4;1.6;1.7;0.6;0.8
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;2;1;1;2;3.1;3.7;4.1;4.7;3.8;7.7;9.7;9.5;11.7;11.9;9.7;0.5;0.4
EGYPT;32;37;30;30;35;39;40;46;51;63;73;81;106;116;118;144;102;107.6;84;75.8;93.6;97.7;125.7;154;157.3;39.7;NULL
EL SALVADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9;0.9;0.9;1;0.9;0.3;0.4
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;NULL;NULL;NULL;NULL;NULL;1;2;3;3;2;3;3;3;NULL;NULL;1;1;NULL;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
