Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BURKINA FASO;2;2;2;3;4;4;3;4;3;5;7;6;12;6;7;7;8;9.3;9;24.7;8.9;7.6;8;8.6;9.2;3.3;3.3
BURUNDI;3;2;1;1;2;1;3;1;1;5;4;3;12;4;4;3;4;4;11;12;7;21;42;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;156;174;147;105;135;152;158;409;412;589;787;1022;1384;1436;1467;1789;2085;2685;3199;3460;3671.8;3806.6;4248.8;4914;5344.9;975.6;177.9
CAMEROON;2;3;6;7;7;8;4;5;NULL;4;4;28;29;NULL;NULL;NULL;NULL;NULL;23.6;21.1;21.6;23.8;22.6;26.9;25.2;6.2;NULL
CANADA;1301;1509;1393;1145;1251;1340;1195;1210;900;1222;1282;1282;1267;1231;1026;1170.3;1222.6;1285.6;1389.4;1590.1;1690.5;1994;2182.5;2149.3;2176.2;299.4;129.1
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;2;2;1;1;1;1;1;2;2;2;2;2;2;2.8;2.7;3.2;3.2;2.8;2.3;2.5;0.5;0.1
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;0.3;NULL;1.2;0.4;0.2;0.3;0.3;0.4;0.4;0.5;2.2;3.9;5;5.8;5.9;6.3;7.3;9.9;6.7;8.4;8.3;5.1;NULL;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;2;1;NULL;NULL;1;2;2;3;9;3;10;9;11.5;13.7;9.7;18.9;14.9;5.4;5.3;0.4;2.6
CHILE;26;28;32;34;36;37;37;41;54;70;75;84;91;79;73;72;77.7;98;99.5;103.7;111.4;124.2;140.3;150.7;150.9;34.8;1.8
CHINA;43789;48201;54374;60308;69278;79312;84610;92866;87214;102394;112053;115700;120956;119584;117588.8;122889.3;123828;120802;117744.1;117276;123308.2;130356.9;141127.4;146013.3;149698.3;NULL;NULL
COLOMBIA;NULL;13;13;16;13;13;12;12;11;13;15;17;24;21.2;26;25.2;28.8;33.7;35.6;43.8;51.1;54.4;58.4;61.4;63.3;12.5;12.4
COMOROS;NULL;NULL;1;NULL;NULL;NULL;0.1;0.1;0.6;0.4;0.3;0.9;0.5;0.4;0.3;0.2;0.6;0.5;0.4;1.1;1.2;1.6;0.7;0.9;1.845;0.2;0.6
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;1;1;3;3;9;19.6;24.7;22.1;13.4;11.2;9;9.5;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;1;1;NULL;3;4;3;4;6;6;5;5;6;4;14;21.6;13.6;NULL;23.3;19.3;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;21;21;20;20;26;36;38;41;45;54;63;66;75;75;82;87;96;105;103.4;103.7;107.3;125.5;136.2;142.7;146;18.8;26.2
COSTA RICA;13;15;14;14;16;16;15;16;16;16;24;23;26;28;27;25.2;26.8;30.6;32.8;35.4;38.3;44.3;47.2;47.4;48.9;11.3;8.7
COTE D´IVOIRE;3;5;6;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.1;10.7;11.6;17.1;28.3;72;79.2;97.4;106.3;112;36.1;31.2
CROATIA;4;8;11;16;15;23;27;36;43;58;79;129;207;275;271;299;360;469;544.5;823;978.8;1041.5;1356.4;1498.6;1599.2;84.5;80.2
CUBA;8;15;14;17;20;27;29;27;32;34;42;44;42;44;41;41.3;48.5;53.2;56.2;67.7;89.6;125.9;191.7;234.7;171.5;27.7;6.1
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;NULL;NULL;NULL;14;15;19;14;12;12;13;15;16;17;17;15;19;16;16;16;17;16.6;14.9;19.3;28.7;29.5;1.4;0.9
CZECH REPUBLIC (CZECHIA);112;159;195;217;233;189;243;242;251;352;421;493;504;502;485;587;674;781;837;933.7;1118.4;1267.1;1552.2;1712.8;1744.1;191.4;59.8
DENMARK;NULL;56;51;56;61;48;46;49;47;83;223;193;198;191;182;190;166;231;249.2;278;291.7;319.4;466.7;462.4;885.8;140;94.7
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;1;NULL;NULL;NULL;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.4;0.4;0.6;0.7;0.9;0.7;0.7;1.1;0.7;1;1.3;1.1;0.2;0.2
DOMINICAN REPUBLIC;NULL;3;3;2;2;3;2;3;3;4;4;5;8;8;7;8;10;9;8.6;8.3;8.9;8.9;13.4;14.4;15.3;4.9;8.3
ECUADOR;13;14;14;14;14;19;16;17;18;18;18;18;24;34;29.4;31.2;41.3;49.3;44.4;65;69.2;67.6;67.6;62.3;64.6;12.2;5.5
EGYPT;187;252;231;131;211;281;210;214;227;296;411;389;526;495;448;559;278;305;248;213.4;280.3;341.7;510.5;515.4;530.8;150.6;NULL
EL SALVADOR;5;5;4;4;3;3;3;3;7;9;10;10;12;9;5;7;10;8;8;8.7;8.8;12.1;11.8;9.8;10.7;1.8;3.2
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;2;2;2;1;2;3;3;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;NULL;NULL;NULL;NULL;NULL
ESTONIA;7;16;24;28;14;NULL;7;7;11;13;15;18;17;18;20;22;29;36;44.2;59;70.2;81.5;95.6;99.6;114.2;9.4;7.7
ESWATINI;4;4;13;1;6;7;6;5;2;3;10;10;12;12;11;11;10;11.4;12;13.4;12.8;14.7;14.4;13;12.6;3;2.3
ETHIOPIA;4;4;5;4;4;5;6;7;9;10;13;20;26;23;31;39;36;52.4;51.9;60.7;68;69.2;73.5;76.9;66.1;23.9;27.1
FIJI;212;227;232;232;264;178;226;262;288;353;389;394;388;431;415;504;542;535;533.8;561.7;618.4;653.9;687.8;706.4;719.8;114.2;26.2
FINLAND;NULL;NULL;NULL;135;126;130;158;244;210;268;273;262;312;314;310;347;427;474;272.6;286.6;349;429.3;532.7;533.9;577.5;126.8;35.6
FRANCE;NULL;1986;2036;2140;2261;2353;2114;2080;1890;2697;2827;3139;3206;3483;3371;3400.1;3905.4;4159.2;4660.6;5175;6198.2;5640.9;5683.2;6041.6;5282.8;1056.6;1230
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;37;34;42;38;38;NULL;36;40;42;45;46;48;50;42;35;33;34;38;36.9;38.9;41.1;43.2;46.5;43;38.3;6.2;0.9
GABON;1;1;1;1;5;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GEORGIA;NULL;NULL;1;2;5;7;5;7;7;5;3;14;10;10;11;14;17.6;23;25.1;24.3;29.7;42.5;61.1;91.1;129.3;18.4;21.8
GERMANY;1546;1573;1590;1515;1567;1799;1651;1716;1605;1931;2001;2176;2105;1991;1790;2046;2297;2666;2805;3024.2;3556;3488.9;3888.7;3964.8;3962.6;579.2;313.6
GHANA;14;15;16;17;18;19;21;23;26;28;11;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23.4;28.9;30.9;44.6;19.4;12
GREECE;261;314;281;224;225;231;243;242;213;227;254;316;230;218;206;199;207;216;238.2;365;362.2;738.4;981.7;1101.4;1195.9;196.6;350.4
GRENADA;1;1;1;1;2;1;1;1;1;1;1;2;3;1;1;1;1;0.7;0.5;1.2;1.1;1;1.1;1.9;1.7;0.3;0.3
