Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;194;271;284;299;157;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32;46;47;54;56;61;67;68;69;96;92;70;158;190;169;201;174;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;934;977;1132;1174;1032;904;939;932;1109;1251;1114;1238;1408;1386;1511;1736;2085;2469;2566;2763;2561.6;2778;3135;3170;3177;745;561
CHINA;3688;4474;9220;9943;11621;14169;14992;16759;16716;21360;21759;24322;29786;36157;43702;54880;72585;101977;128576;227344;249831;250112;257875;277265;254621;131050;105689
COLOMBIA;1162;1431;1560;1455;1339;1452;1556;1355;1349;1543;1934;2171;2501;2819;2841;3228;3689;4461;4592;5299;4890;4891;5136;5531;5658;1540;3035
COMOROS;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19.1;23.6;28.299999999999997;31.1;30.0;33.2;37.400000000000006;36.3;NULL;40;34;38;42;48;53;43;52
CONGO;69;86;68;69;71;59;82;85;118;176;112;132;157;217;549;312;327;308;360;435;557;457;NULL;NULL;193;72;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;54;93;109;127;121;150;298;108;170;283;127;60;68;115;96;204;219
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;336;357;401;466;509;545;430;427;484;530;591;647;825;753;500;629;620;647;649;657;898;1055;1322;1198;1451;677;1001
COTE D´IVOIRE;312;347;317;331;337;291;289;490;551;571;549;583;606;612;589;569;580;560;583;625;560;491;564.0;625;628;324;NULL
CROATIA;422;510;530;600;806;634;677;852;709;881;786;770;1025;1167;1042;861;918;962;923;865;770;954;1410;1741;1811;789;1121.3
CUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
