Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CABO VERDE;18;31;38;44;NULL;101;122;106;135;136;173;208;228;234;244;298;385;403;394.4;382.4;426.3;463.3;521.1;547.5;598.8;133.6;84.8
CAMBODIA;38;54;43;46;60;66;66;219;183;243;310;314;417;464;470;496;551;622;709;721;728.7;779.7;869.2;818.7;793.9;225;9
CAMEROON;61;55;104;138;146;150;100;99;NULL;83;68;200;212;NULL;NULL;NULL;NULL;NULL;181.5;150.8;167;165.7;202.8;185.7;159.9;36.2;NULL
CANADA;2188;2371;2330;2274;2382;2499;2324;2095;1873;2202;2397;2360;2443;2498;2262;2375.5;2355.8;2298.9;2286.2;2436.9;2540.9;2875.8;2974.9;2943.9;3150.3;391.6;459.9
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;24;21;19;19;16;13;18;20;21;19;20;21;22;28.1;36.7;34.6;29.5;24.5;23.1;24.3;6.4;2.7
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;3.1;NULL;3.6;3.5;1;1.9;3.7;4.3;5;6.7;10.6;16.6;13.1;16.6;17.6;20.2;23.3;27.9;20.4;33.1;36.7;28.5;8;NULL
CHAD;4;5;5;21;24;21;32;15;10;13;15;9;32;12;24;25;11;13;13.4;15.1;20.3;27.1;23.3;9.2;17.7;0.8;14.2
CHILE;163;168;203;227;225;240;250;245;309;345;385;402;437;409;383;363;375.8;388;396.4;426.4;432;469.9;496.6;515.9;535.5;148;27.6
CHINA;1609;1770;2039;1896;2149;2537;2732;3007;2790;4097;5166;5769;6937;6688;5131.5;6365.8;6772;6770;6422.4;6209.3;5475.4;5987.6;6402;6530.6;6854.2;NULL;NULL
COLOMBIA;166;170;156;159;134;127;129;118;125;156;183;205;220;227;258;230.3;263.6;273;293.6;351.5;406.1;439.9;491.4;544.3;586.5;154.9;205.3
COMOROS;14;11;11;13;9;7;6.9;9.5;8;10.6;9.6;9.5;9.1;11;7.5;12.5;14.6;14.5;14.2;13;11.7;15.3;14.7;23.2;29.638;5.4;23.3
CONGO;17;21;14;11;7;8;12;9;8;11;13;14;21;30;44;46;51;75.7;45.9;51.6;63;49.7;50.3;52.1;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;15;NULL;NULL;8;4;6;11;11;9;13;15;13;11;13;13;35;68;50.8;49.1;NULL;94.9;72.1;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;19;18;20;19;18;24;23;20;22;20;18;18;15;13;12;10;10;9;9.4;9.5;9.1;10.8;11.6;12.5;12.2;3.1;0.1
COSTA RICA;135;132;131;132;146;157;157;164;198;215;242;243;282;300;259;286.9;302;296.1;311.7;370.5;393.1;434.9;462.3;480.1;500.6;170;229.8
COTE D´IVOIRE;64;97;107;109;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;58;62.3;66.5;91.2;113;331.5;364.1;118.4;129.3;136.2;44;37.9
CROATIA;1434;2815;4072;4412;3730;5720;6429;6807;7244;7693;7485;7626;8108;8165;8233;8593;9303;9591;10002.7;10342;11148.6;12160.3;13453.5;14191.7;14685.5;5375.3;10215.8
CUBA;375;563;648;793;875;949;898;859;942;977;1048;1014;924;909;838;809.5;852.1;839.3;810.4;867;1058.2;1414;1566.3;1458.6;1258.2;331.3;202.7
CURAÇAO;82;84;77;69;68;65;73;70;91;90;95;104;121;137;150;164;169;175.2;175.8;187.1;200.2;207.5;205.6;221.9;243.8;112.4;183.9
CYPRUS;1840;1773;1979;2112;2313;2554;2592;2324;2208;2263;2375;2308;2304;2300;2040;2056;2279;2356;2291;2321;2511.1;3027.1;3458.7;3705.6;3723.8;600.4;1838.4
CZECH REPUBLIC (CZECHIA);3107;4150;4507;4926;5037;4299;4849;4249;4528;5314;5496;5488;5715;5691;5130;5261;5531;6190;6297;6390.6;6687;7109;7581.3;7852.8;8060.2;2470.4;2358.9
DENMARK;NULL;1824;1851;1793;1748;3313;3455;3221;3253;4065;8290;8277;8558;8330;7989;8128;7174;7250;7291.7;8834;9023.1;9359.7;10381.8;10633.1;11816.3;5315.7;6446.5
