Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURUNDI;1;1;1;1;2;2;3;21;21;46;49;38;35;36;38;25;26;14;21;26;13;15;16;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;25;32;40;44;72;78;78;81;76;75;97;148;153.4;145.4;144.2;156.8;51.5;0.2
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13;12;19;27;8;11;32;21;24;26.7;30;28.1;16.5;19.4;NULL;NULL
CANADA;302;280;355;380;359;484;530;531;626;714;706;754;833;845;812;806.492;764.259;725.262;722.075;717.543;706.388;795.51;847.87;959.453;1113.468;1.751;6.22
CAYMAN ISLANDS;683;800;867;871;1036;1031;1215;1575;1819;1693;1799;1930;1716;1553;1520;1598;1401;1507;1376;1610;1717;1712;1728.4;1921;1831;538.1;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;8;6;13;17;20;26;34;28;37;67;75;95;104;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHINA;3997;4164;4578;3754;3814;3860;4115;4377;3787;4727;5212;5484;5920;5480;4672;5039;5082;4793;4643.6;4593.7;4540.4;4731.5;4612.4;4658.8;4228.6;NULL;NULL
COLOMBIA;70;193;162;149;181;150;175;96;44;51;50;52;128;231;6;9.8;16.9;14.4;18.6;28.9;29.9;32.9;39.8;42.6;44.2;11.1;6.4
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;86;109;123;195;78;61.1;80.3;53.2;62.4;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;15;NULL;NULL;NULL;NULL;NULL;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;6;6;7;7;10;23;11;6;12;10;9;6;5;4;2;5;7;10;8.4;9.5;8;10.4;10.3;8.9;11.6;4.6;2.4
COTE D´IVOIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CROATIA;78;109;164;178;122;183;244;306;384;921;984;1036;1200;1367;1405;1542;1638;1619;1602;1451;1439;1506;1353.7;1497.8;1590.4;21.8;290
