Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRITISH VIRGIN ISLANDS;79;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BULGARIA;3524;3006;3059;2592;2376;2337;2730;3188;3403;3882;4235;4180;4515;5727;4993;3676;3803;3758;3930;4158;4632;5392;6228;6699;7007;3973;5182
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURUNDI;36;35;10;16;27;28;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;31;38;45;41;49;41;37;45;60;239;568;787;996;786;340;505;710;792;872;956;1194;1434;1752;1995;2038;326;30.5
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CANADA;18206;18973;19111;17648;18368;19182;18359;17705;17739;19595;21099;46912;50044;51737;47481.4;53619.6;61909;65176;65780;63737;55971;52978;54955;38069;37844.5;6804;6954
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;6;7;8;11;NULL;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;27;40;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;NULL;NULL;NULL;NULL;NULL;1528;1340;1445;1510;1726;2030;2263;2450;2317.1;2359.0;2737.3999999999996;3220.0;3448.1;3674;3842;4103;4269;4367;4605;4091;1161.6;519.5
CHINA;4520;5061;5324;8426;9232;10473;12133;16602;20222;28853;31026;34524;40954;45844;47656;57386;70250;83182;98185;116593;127860;135130;143035;149720;154632;20334;NULL
COLOMBIA;1057;929;1071;1093;1098;1235;1381;1277;1177;1405;1553;NULL;2028;2042;2122;2342;2522;3169;3605;3911;3862;3795;4017;4368;4479;1275;3004
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;50;50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;356;424;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;6;7;8;8;8;9;9;9;10;12;13;13;13;13;12;12;13;12;12;12;13;14;13.3;14;14;3.7;4.7
COSTA RICA;273;283;288;330;353;381;361;364;373;425;487;485;577;528;579;662;717;773;790;798;919;1036;1150;1079;1153;324;588
COTE D´IVOIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4393;4823;1873;5526;5159;5444;4638;4355;2582;2597;2980;3500;678;907
CUBA;72;72;83;94;97;139;121;111;113;124;162;199;194;202;206;251;253;213;286;355;580;385;459;552;650;271;244
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7213;6643;6963;6393;11508;12713;12336;11891;5279;5419;5781;5651;5856;6027;6775;7390;7346;2399;1161
DENMARK;NULL;5035;4693;4788;4744;5011;4946;4935;5564;4630;5469;6129;6564;6347;7037;7726;7846;7843;6977;8528;8991;9651;8087;7475;9088;4230;3182
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICAN REPUBLIC;168;358;355;354;363;360;331;332;321;368;419;420;443;413;415;401;408;418;392;427;478;500;522;514;532;210;556
