Arrivee
AS;1995;34
AO;1995;9
AR;1995;2289
AM;1995;12
AT;1995;17173
BD;1995;156
BE;1995;5560
BJ;1995;190
BT;1995;4.8
BO;1995;284
BW;1995;1721
BR;1995;1991
VG;1995;745
BN;1995;119
BF;1995;124
BI;1995;34
CV;1995;28
KH;1995;220
CM;1995;100
KY;1995;17.3
CF;1995;26
TD;1995;46
CL;1995;1540
KM;1995;23
CG;1995;37
CD;1995;37
CK;1995;48
CY;1995;640
CZ;1995;3381
DJ;1995;21
SV;1995;235
EE;1995;2320
ET;1995;103
FJ;1995;549
FI;1995;1779
FR;1995;60033
PF;1995;252
GM;1995;45
DE;1995;14847
GH;1995;286
GR;1995;16165
GP;1995;296
GU;1995;1362
GY;1995;106
HN;1995;271
IN;1995;6309
IE;1995;4818
IL;1995;1063
KI;1995;3.9
KG;1995;36
LB;1995;450
LY;1995;43
LI;1995;59
LT;1995;1814
LU;1995;768
MG;1995;83
MW;1995;192
MY;1995;24577
MV;1995;315
ML;1995;42
MH;1995;5.5
MD;1995;69
MC;1995;279
MM;1995;194
NP;1995;363
NL;1995;6574
NC;1995;12.4
NE;1995;35
NU;1995;2.2
MK;1995;147
NO;1995;2880
OM;1995;279
PK;1995;378
PW;1995;53
PG;1995;42
PE;1995;479
PH;1995;1768
PT;1995;6788
QA;1995;309
WS;1995;68
SN;1995;292
RS;1995;228
SL;1995;13.8
SK;1995;903
SI;1995;1958
SB;1995;11.8
SD;1995;29
SR;1995;60
SE;1995;2310
CH;1995;6946
TH;1995;6952
TG;1995;53
TO;1995;0.2
TT;1995;41
TN;1995;6999
TC;1995;79
TV;1995;0.9
UG;1995;160
AE;1995;2315
YE;1995;61
ZM;1995;163
AS;1996;35
AO;1996;21
AR;1996;2614
AM;1996;13
AT;1996;17090
BD;1996;166
BE;1996;5829
BJ;1996;199
BT;1996;5.2
BO;1996;313
BW;1996;1973
BR;1996;2666
VG;1996;393
BN;1996;226
BF;1996;131
BI;1996;27
CV;1996;37
KH;1996;260
CM;1996;145
CF;1996;21
TD;1996;77
CL;1996;1450
KM;1996;24
CG;1996;39
CD;1996;30
CK;1996;48
CY;1996;1958
CZ;1996;4558
DK;1996;2125
DJ;1996;20
SV;1996;283
EE;1996;2531
ET;1996;109
FJ;1996;32
FI;1996;1724
FR;1996;70109
PF;1996;228
GM;1996;77
DE;1996;15205
GH;1996;305
GR;1996;15939
GU;1996;1373
GN;1996;12
GY;1996;92
IN;1996;6578
IE;1996;5534
KI;1996;4.2
KG;1996;42
LB;1996;424
LY;1996;81
LI;1996;56
LT;1996;2024
LU;1996;724
MG;1996;101
MW;1996;194
MY;1996;24714
MV;1996;339
ML;1996;98
MH;1996;6.2
FM;1996;17.6
MD;1996;67
MC;1996;278
MM;1996;490
NP;1996;394
NL;1996;6580
NE;1996;68
NU;1996;1.5
MK;1996;136
NO;1996;2746
OM;1996;349
PK;1996;369
PW;1996;69
PG;1996;61
PE;1996;584
PH;1996;2069
PT;1996;6962
QA;1996;327
WS;1996;73
SN;1996;294
RS;1996;301
SL;1996;21.9
SK;1996;951
SI;1996;1824
SB;1996;10.3
PS;1996;43
SD;1996;38
SR;1996;138
SE;1996;2376
CH;1996;6730
TH;1996;10873
TG;1996;58
TN;1996;7352
TM;1996;3.4
TC;1996;88
TV;1996;1
UG;1996;174
AE;1996;2572
YE;1996;74
ZM;1996;264
AS;1997;26
AO;1997;45
AR;1997;2764
AM;1997;23
AT;1997;16647
BD;1997;182
BE;1997;6037
BT;1997;5.4
BO;1997;355
BA;1997;115
BR;1997;2850
VG;1997;302
BN;1997;157
BF;1997;138
BI;1997;11
CV;1997;45
KH;1997;219
CM;1997;232
CF;1997;17
TD;1997;61
CL;1997;1644
KM;1997;26
CG;1997;27
CD;1997;53
CK;1997;50
CZ;1997;4976
DK;1997;2158
DJ;1997;20
SV;1997;387
EE;1997;2566
ET;1997;139
FI;1997;1832
FR;1997;73147
PF;1997;189
GM;1997;85
DE;1997;15837
GH;1997;325
GR;1997;14915
GU;1997;1382
GN;1997;17
GY;1997;76
IN;1997;6968
IE;1997;5923
KI;1997;5.1
KG;1997;87
LB;1997;558
LI;1997;57
LT;1997;2205
LU;1997;778
MG;1997;121
MW;1997;207
MY;1997;25033
MV;1997;366
ML;1997;75
MH;1997;6.4
FM;1997;17.2
MD;1997;63
MC;1997;303
MM;1997;491
NP;1997;422
NL;1997;7841
NE;1997;68
NU;1997;1.8
MK;1997;121
NO;1997;2702
OM;1997;376
PK;1997;375
PW;1997;74
PG;1997;66
PE;1997;649
PH;1997;2259
PT;1997;6439
QA;1997;333
WS;1997;68
SN;1997;326
RS;1997;298
SL;1997;7.5
SK;1997;814
SI;1997;2049
SB;1997;13.8
PS;1997;33
SD;1997;30
SR;1997;161
SE;1997;2388
CH;1997;7039
TH;1997;10082
TG;1997;92
TN;1997;7163
TM;1997;5.2
TC;1997;93
TV;1997;1
UG;1997;175
AE;1997;2476
YE;1997;80
ZM;1997;341
AS;1998;36
AO;1998;52
