Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURUNDI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;451;477;487;498;573;604;817;783;822;897;994;1081;997;1021;NULL;NULL
CANADA;41657;43256;45076;48064;49055;48638;47147;44896;38903;38845;36160;33390;30373;27370;24696;25621;25066;25318;25167;25558;27555;30142;31081;31274;32430;5068;4282.1
CAYMAN ISLANDS;1044;1173;1248;1275;1431;1385;1549;1878;2113;1953;1967;2197;2008;1856;1792;1886;1710;1829;1721;1993;2102;2097;2147;2384;2334;660;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;58;67;77;89;93;94;175;149;101;106;59;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3713;3657;3584;3963;4397;4457;4601;5487;6712;7621;6603;5431;1310.5;192
CHINA;46387;51128;57588;63478;72796;83444;89013;97908;91662;109038;120292;124942;131873;130027;126476;133762;135423;132405;129078;128499;133820;141774;153260;158606;162538;30402;NULL
COLOMBIA;1433;751;758;823;725;707;788;661;668;840;981;2096;2381;2545;2649;1701;2356;2434;2595;2866;3371;3675;4056;4397;4531;1396;2174
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;199;224;259;345;229;224;213;151;158;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;85;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;197;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;924;940;1013;1167;1267;1278;1320;1335;1514;1771;1959;2071;2302;2409;2309;2495;2526;2542;2641;2760;2899;3204;3231;3313;3366;1146.5;1375
COTE D´IVOIRE;188;237;274;301;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;182;205;231;252;270;289;380;471;1441;1583;1800;1965;2070;668;576
CROATIA;16100;19085;23660;25499;29215;37226;40129;41737;42857;44974;45762;47733;52271;51336;47573;49006;49969;47185;48345;51168;55858;57587;59238;57668;60021;21608;34123
CUBA;745;1004;1170;1416;1603;1774;1775;1686;1906;2049;2319;2221;2152;2348;2430;2532;2716;2847;2862;3014;3540;4009;4654;4712;4276;1086;356.4
CURAÇAO;396;387;422;437;433;514;519;545;508;452;510;572;664;773;808;762;837;908;1071;1129;1072;944;1058;1210;1293;436;418
CYPRUS;2253;2089;2194;2357;2578;2912;2841;2495;2416;2478;2657;2629;2671;2631;2370;2450;2626;2635;2626;2558;2780;3286;3750;4024;4117;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20108;23808;24747;25102;22625;21850;23285;21941;22810;25750;26332;27166;29604;32519;34701;36268;37202;10267;NULL
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21119;22054;26927;26936;27138;26870;26571;26730;25811;26402;26516;28070;28209;28692;30736;30801;32101;16066;18405
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;203;261;299;312;280;312;276;208;254;466;381;465;437;468;608;595;418;348;311;370;358;356;230;199;322;140;66
DOMINICAN REPUBLIC;1806;2037;2482;2702;2932;3161;3090;3058;3680;3907;3981;4268;4365;4455;4489;4478;4654;4901;5114;5576;6129;6769;7296;7551;7550;2748;5327
ECUADOR;440;494;529;511;518;627;641;683;761;819;860;841;937;1005;968;1047;1141;1272;1364;1695;1676;1569;1806;2535;2108;507;669
EGYPT;3133;3896;3961;3454;4797;5506;4648;5192;6044;8104;8608;9083;11091;12835;12536;14731;9845;11532;9464;9878;9328;5399;8292;11346;13026;3677;NULL
EL SALVADOR;NULL;NULL;NULL;NULL;NULL;867;804;885;798;1030;1306;1501;1720;1875;1482;1606;1634;1738;1822;1886;1973;2052;2247;2536;2639;707;1436
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
