Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BULGARIA;4;3;7;6;4;3;3;4;4;3;3;3;2;2;2;2;2;3;6;6.4;7.3;8.5;9;9.9;11.1;3.6;5.2
BURKINA FASO;52;54;57;63;42;47;50;55;65;96;101;108;121;113;119;128;117;118;108;84.4;85.1;82.7;80.2;82;85.6;42.2;71.9
BURUNDI;16;13;5;7;12;14;17;25;25;1;49;181;168;178;186;122;123;125;148;152;58;85;138;NULL;NULL;NULL;NULL
CABO VERDE;1;NULL;NULL;NULL;NULL;4;3;10;5;10;9;5;0.3;0.2;0.2;0.2;3;0.3;1.3;0.4;0.2;0.6;0.6;0.8;0.8;0.2;0.2
CAMBODIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;4;5;5;6;6;6;6;9.2;11.1;12.8;12.4;13.6;3.2;0.3
CAMEROON;27;73;97;76;81;89;100;105;NULL;80;89;155;164;NULL;NULL;NULL;NULL;NULL;215.3;211.3;192.3;218.5;208.1;238.3;204.8;91.4;NULL
CANADA;49;56;59;59;66;65;61;54;52;58;62;72;76;80;76;81.2;85.9;91.9;98;104.2;110.9;124.1;132.5;143.4;165.5;29.7;38.6
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;1;0.7;0.8;0.9;0.9;1;0.9;1;0.2;0.1
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;3.4;NULL;5.4;5;1.5;3.1;3.5;6.2;7.1;8.3;16;27;26.7;32.7;35.9;44.2;50.7;63.4;37.8;50.6;48.3;43.4;23;NULL
CHAD;2;2;4;12;14;13;17;8;5;6;7;31;36;40;16;34;51;60;67.6;83.6;84.2;43.2;39.7;45.5;45.3;9.5;21.3
CHILE;3;NULL;2;2;2;2;2;2;3;4;4;4;4;5;4;4;4.1;4;4;3.6;4.1;3.8;4.6;4.7;5.1;0.9;0.1
CHINA;33;39;38;39;43;54;63;84;92;154;211;255;327;324;340.4;391.4;424;440;461.4;497;487.5;502.3;541.9;585.2;598.9;NULL;NULL
COLOMBIA;NULL;1;1;1;1;1;1;1;1;1;1;2;4;2;2;2.3;2.8;2.7;3;3.5;3.6;3.8;3.7;3.5;4.2;1;1.4
COMOROS;8;11;14;11;14;16;11.8;8.7;5.6;6.3;8.9;5.5;4.2;2.1;2.9;1.8;1.5;6.7;5.6;7.1;9.2;8.2;11.6;10.9;11.933;1;3.9
CONGO;17;14;10;7;6;9;12;11;11;12;13;20;28;26;38;41;153;148.6;261.7;142.6;137.7;145.1;84.1;88.2;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;20;NULL;NULL;22;73;96;38;9;20;15;36;33;28;28;31;20;44;66;72;NULL;189.9;221;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;NULL;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1.8;1.9;2;2.2;2.6;2.7;2.8;3.1;3.1;3.6;1;2.5
COTE D´IVOIRE;105;113;138;159;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;173.9;185.3;199.4;258.4;315.6;965.5;1060.8;1555.4;1697.5;1788.6;577.3;497.5
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12;11;10;11;13;17;19.8;23;25.2;32.3;36;39.8;43;7.3;13.7
CUBA;2;3;5;6;6;7;7;6;7;6;6;7;7;8;9;8.7;8.2;11;12.6;14.7;14.2;18.5;21.9;28.7;22.3;3.8;2.4
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;NULL;NULL;NULL;6;9;10;8;7;7;5;7;7;7;7;7;7;7;6;6;5;3.5;4.4;8;10.2;12.4;3.4;2.3
CZECH REPUBLIC (CZECHIA);12;15;16;22;26;13;16;13;14;15;18;19;20;23;20;26;30;37;39;44.3;43.8;45;48.1;45.7;50.1;10.5;9.6
