Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CABO VERDE;2;NULL;NULL;NULL;NULL;2;2;2;2;1;2;6;5;4;4;3;4;5;4;3.4;4.3;4.9;6;6.9;8.7;2;4.5
CAMBODIA;22;28;25;22;36;42;44;113;89;122;152;159;195;205;201;199;218;244;263;277;315.5;353;395;369.3;354;83.4;7.5
CAMEROON;8;11;19;21;22;23;13;14;NULL;12;10;38;41;NULL;NULL;NULL;NULL;NULL;23.1;20.5;26.6;26.7;39.2;32.9;25.2;5.7;NULL
CANADA;13294;13241;13742;15256;15564;15605;15974;16576;14589;15518;14867;14372;13946;13112;12150;12336.3;12081.4;12395.1;12002.3;12082;13289.5;14587.7;15150;15405.5;16085;2129.7;2279.8
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;327;310;282;272;242;153;247;268;279;250;265;285;297;313;341.8;345.8;350.9;389;435.6;473.8;114.4;14.2
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;0.5;NULL;0.9;0.7;0.2;0.4;0.4;0.6;0.7;0.9;1.3;3.2;5.1;5.1;5.2;6;6.7;7.5;2.4;3.4;3.5;2.8;0.7;NULL
CHAD;1;1;1;4;5;8;5;6;4;6;6;3;4;3.4;11;6;4;3;4.2;5.4;4.7;7.1;8.2;12.2;10.6;0.3;0.4
CHILE;1345;1243;1403;1493;1365;1457;1429;1119;1243;1360;1553;1755;1968;2076;2174;2222;2532.7;2899;2900.5;2951.6;3735;4845.4;5615.4;4832.4;3618.2;873.8;137.9
CHINA;697;809;867;948;1026;1217;1278;1510;1133;1790;2146;2406;2721;2582;2491.2;2995.4;3201;3179;3123.8;3106.6;3115.4;3378.8;3539.8;3786.9;3645.3;NULL;NULL
COLOMBIA;1233;373;409;464;395;413;469;428;484;618;730;827;944;969;1064;1140.1;1192.9;1282.7;1388.7;1561.7;1820.4;2020.9;2272.5;2485.8;2546.2;731.7;1207.5
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;0.2;0.1;NULL;0.1;0.2;0.4;0.4;0.3;0.1;0.2;0.8;0.3;0.2;0.7;0.8;0.9;0.5;0.5;0.923;0.2;0.6
CONGO;2;3;2;1;1;1;1;1;1;1;2;2;2;3;5;5;4;9.7;9.9;7.6;5.8;4;4.4;4.7;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;1;1;NULL;3;4;3;5;4;3;3;4;3;7;21;18;20.4;NULL;18.7;9.3;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;8;9;9;9;11;13;13;11;11;8;6;8;7;6;6;7;7;7;6.8;6.8;7.3;8.4;11.5;11.4;11.2;3;NULL
COSTA RICA;633;630;662;791;863;907;952;928;1018;1214;1412;1457;1670;1755;1635;1781.6;1856.8;2009.2;2075.1;2111.4;2218;2434.2;2437.9;2475.8;2574.3;826.9;1101.9
COTE D´IVOIRE;13;19;21;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.1;11.2;11.6;13.3;14.1;72;79.2;20;21.8;23;7.4;6.4
CROATIA;24;65;60;53;47;67;67;75;84;119;131;174;232;214;180;208;251;292;381.4;435;530.5;574.4;747;914.7;1025.7;78.1;331.1
