Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;6;3;4;2;NULL;NULL;NULL;NULL;1;1;NULL;1;2;2;0.8;0.7;0.9;0.8;0.8;1;0.9;0.7;0.2;NULL
BULGARIA;25;18;21;20;18;17;15;14;15;16;18;14;19;22;21;25;24;30;44;36.2;34.3;30.3;29.8;29.7;32;13.3;22.8
BURKINA FASO;NULL;NULL;NULL;NULL;1;1;1;1;1;2;2;2;2;2;2;1;2;1.5;2;1;1.4;0.7;0.7;0.4;0.3;0.2;0.3
BURUNDI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;1;14;13;22;25;55;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;2;3;2.4;4.6;5.8;5.8;5;6.1;1.3;0.1
CAMEROON;1;1;3;4;4;6;1;1;NULL;5;2;16;17;NULL;NULL;NULL;NULL;NULL;9.4;7.9;15;21.1;44.7;31.5;9.6;2.5;NULL
CANADA;32;35;35;38;41;45;47;42;40;48;52;59;68;77;78;83.7;85.1;85.5;91.3;103.2;106.6;115.5;116.1;110.1;121;25.7;40.2
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.1;0.2;0.2;0.3;0.3;0.2;0.2;0.1;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;0.1;NULL;0.1;0.1;NULL;NULL;0.2;0.4;0.5;0.6;0.4;1.2;2.7;3.8;4.6;5;5.9;8.1;10.7;8.5;9;5.3;1;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;1;1;2;1;1;1;1;2;1.5;10;2;1;1;0.6;0.9;1;1.8;1.2;4.6;NULL;0.3;1
CHILE;NULL;NULL;1;NULL;1;1;1;1;1;1;1;2;1;1;1;1;0.5;1;0.7;0.8;0.8;0.9;0.9;1;1.1;0.2;NULL
CHINA;16;18;22;21;26;35;37;52;47;84;111;136;180;178;207.4;246.8;239;264;269.1;277.7;267.1;252.5;255;252.4;257.9;NULL;NULL
COLOMBIA;NULL;2;2;2;1;1;2;1;1;1;1;1;1;1.2;1;0.9;1.1;1.3;1.5;1.6;1.8;1.9;2.1;2.2;2.4;0.7;1.2
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8;0.8;0.8;0.6;0.8;0.5;0.3;0.738;0.2;0.4
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;2.6;1.1;2.9;2.9;1.6;1.1;1.4;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;6;11;3.2;NULL;7.6;13.6;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4;0.5;0.6;0.7;0.8;0.9;1;1.2;1.2;1.2;0.4;0.6
COTE D´IVOIRE;2;1;2;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;9.8;10.4;3.3;2.9
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CUBA;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2.1;1.8;2.2;2.3;2.8;3.3;4.4;4;5.1;4.7;0.9;0.4
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;105;105;53;51;56;52;45;45;49;41;40;39;51;48;50;51;51;56;59;72;81.2;93.1;110.4;119.7;121.4;11.9;54.4
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;31.9;42;51;61.7;57.8;5.8;8.9
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
