Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4013.3;4046;4224;4100.6;1006.8;106.8
BULGARIA;7088;5801;6471;4230;4313;4046;3979;4274;4712;5111;5097;5127;5197;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURUNDI;18;15;5;8;14;15;19;35;36;48;50;126;113;119;125;84;87;92;121;123;72;98;194;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;NULL;NULL;NULL;104;105;115;197;264;245;336;445;525;675;814;972;1126;1320;1786;2117;2132;2151;2153.9;2144;1960;2049.7;498.4;96.4
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;240;248;244;253;298;314;434;493;554;562.5;563.7;589.3;505.8;512.9;NULL;NULL
CANADA;10935;10730;10692;11548;11701;11509;11801;12334;10500;10934;10318;9726;9284;8646;8144;8250.454;7997.1669999999995;8200.387;8160.5289999999995;8090.979;8848.437;9373.350999999999;9458.467;9802.321;10032.943000000001;1294.436;1461.125
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;NULL;NULL;NULL;14;15;16;39;40;27;21;9;4;3;3;3;9;3;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;980;872;975;1057;972;1054;1040;778;869;958;1097;1246;1348;1624;1730;1749;1872;2109;2101;2139.5;2768;3656;3880.6;3358.6;2439.1;696.5;4.1
CHINA;37577;41637;47154;54164;62355;71839;76280;83188;79794;91694;100345;102958;107137;107734;105503;108709;109430;106191;103690;102818.3;108267.7;114366.5;125577.7;129499.5;133010.59999999998;NULL;NULL
COLOMBIA;1035;63;50;NULL;34;37;64;58;73;88;97;116;139;151;155;61.3;69.4;66.8;74.4;89.4;102.2;113.9;115.4;96.4;98.7;22.4;8.8
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;14;NULL;NULL;NULL;NULL;26;10;8;NULL;166.3;165.1;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;198;215;223;266;287;264;308;309;299;355;427;487;618;661;601;677;721;781;802;796.4;793;799.8;760.3;692.9;709.1;217.5;74.2
