Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BURKINA FASO;11;11;12;6;3;3;3;7;6;6;7;8;7;9;7;10;8;10.8;11;9.7;7.5;7.2;3.2;6.5;7.1;4.2;4.4
BURUNDI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40;38;92;56;3;9;3;3;3;3;2;6;8;6;9;8;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;8;7;8;8;9;13;23;34;47;39;35;36;74;103;107.5;89;129.3;140.1;154.4;149.7;44;45.6
CAMBODIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;26;76;86;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMEROON;1;2;2;1;1;1;3;3;NULL;6;3;14;14;NULL;NULL;NULL;NULL;NULL;8.8;22.2;29.3;28;36.6;31;35.7;5.1;NULL
CANADA;NULL;NULL;33;42;44;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.1;0.6;0.1;0.2
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;1;1;1;2;1;1;1;1;NULL;NULL;NULL;NULL;NULL;0.3;0.2;0.3;0.3;0.5;0.6;0.4;0.1;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;0.1;NULL;NULL;0.2;NULL;NULL;0.1;0.1;0.1;0.1;0.1;0.5;1.2;1.5;1.6;1.8;1.7;3.7;3.9;2.7;3.4;2.2;1.9;NULL
CHAD;11;11;17;4;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8
CHILE;1;11;1;1;1;2;2;2;2;2;5;2;2;137;122;136;143;161;171.6;185;190.8;191.7;186.6;212.4;200.8;60.2;22.2
CHINA;133;171;117;133;113;79;15;8;3;5;6;4;3;2;2.2;2.1;2;2;2.1;7.2;2.5;NULL;2.6;157.7;2.3;NULL;NULL
COLOMBIA;NULL;70;58;31;1;1;2;6;1;NULL;1;NULL;NULL;1;NULL;2.6;550;583.7;562.1;585.3;809.7;842.1;876.6;914.1;957.6;358.8;723.8
