Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BRUNEI DARUSSALAM;442;789;NULL;926;931;950;823;NULL;NULL;NULL;811;NULL;142;185;118;169;195;157;163;148.8;169;173.6;215.7;234;289.8;53.5;1.4000000000000001
BULGARIA;7813;6657;7355;5107;4886;4744;4920;5383;6025;6709;6942;7167;7350;8115;6798;7440;7741;7826;8166;8191.400000000001;8126.2;9183.3;10034.2;10640.5;10791;4241.8;6322
BURKINA FASO;66;78;81;87;66;67;131;88;101;124;99;125;163;155;155;164;178;192.39999999999998;187;208;199.3;182;194.9;196.9;196.60000000000002;188.1;235.8
BURUNDI;22;18;8;10;17;19;24;52;52;88;100;149;165;173;182;122;111;134;217;193;121;156;252;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;175;202;170;149;208;304;346;465;630;919;1246;1482;1869;1966;2029;2367;2739;3416;4025;4297;4475.7;4669.5;5228.9;5513.9;5239.2;1034.2;105.3
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CANADA;14402;14645;14767;15783;16280;16712;17061;17404;15188;16460;15989;15477;15189;14332;13240;13576;13551.8;13855.2;13430.4;13757.7;14734.9;16210.1;16793.1;17439;18260.800000000003;NULL;NULL
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;339;324;290;279;246;156;248;271;284;256;272;291;302;325;364;366.7;364;394.8;435.70000000000005;471.8;113.9;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;4.1;NULL;6;6;1.3;4;5.6;7.8;8.1;11.2;16.700000000000003;26.9;24;28.4;32;48.9;55.5;76.6;40.5;55.5;55.900000000000006;47.1;33.4;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;54;38.2;58;49;65;57;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.1;15.7
CHILE;1187;1227;1471;1613;1466;1494;1553;1296;1462;1585;1719;1795;2075;2142;2026;2032;2434.8;2903.5;2952;3008.6;3786;4827;5813.9;5168.5;4030.3999999999996;1024;NULL
CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10219;8501;13071;15657;16662;19149;18648;16701;19930;20785;20911;20096;20965;20608;25686.5;37246.2;41804.100000000006;42828.8;NULL;NULL
COLOMBIA;742;NULL;300;592;NULL;490;559;432;460;574;667;NULL;NULL;NULL;NULL;1058.7;1263.8000000000002;1125.7;1185.6;1265.9;1546.5;1802.8;2017.6999999999998;2250;2353.7;712.1;1160
COMOROS;21;21;23;23;22;22;16.3;14.6;16.4;19;21;23.1;10.8;10.6;8.3;12;15.3;17.1;18.6;17.7;17.9;21.7;21.200000000000003;25.5;37;5.47;24.9
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;126.8;148;159;221.10000000000002;171;167.9;163.10000000000002;107.69999999999999;84.9;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;15;NULL;NULL;44;65;93;49;25;14;14;19;20;21;18;19;46;67;91;107.1;194.8;206.89999999999998;205.5;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;47;47;48;46;53;70;72;69;74;79;85;89;93;91;98;101;110;118;117;117.39999999999999;120.8;141.3;155.79999999999998;162.89999999999998;165.6;24.599999999999998;26
COSTA RICA;592;659;697;729;772;829;921;849;966;1203;1407;1427.7;1651.1;1646;1701.6;1829.3;1890;2036.6;2140.7;2179.7;2241;2630.5;2715.2999999999997;2731.2999999999997;2977.8;NULL;1254.4
COTE D´IVOIRE;104;130;125;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;151;163;173.6;228;273.2;836;1013;1026.1;1123;1184.5;382;329.1
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CUBA;733;989;1142;1379;1549;1729;1723;1643;1835;2006;2249;2137;2107;2304;2393;2495;2672;2806.2;2823.6;2966.3;3487.5;3952.1000000000004;4562.5;4668.900000000001;4238.3;1079.7;351.7
CURAÇAO;200;190;196;195;167;152;163;184;195;202;207;218;287;384;333;304;360;394;409.3;417.5;436.59999999999997;415.2;368;407;442;169;250
CYPRUS;NULL;NULL;NULL;2102;2308;2541;2568;2287;2176;2210;2327;2250;2241;2239;1984;2023;2231;2245;2263;2326;2522;3009.8;3438.8999999999996;3700.9;3728.3;557.5;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
